start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
Actual,9/11/2013,Turkey,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Turkey's Directorate of Telecommunication following Istanbul's Criminal Court of Peace,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=TR&since=2023-01-01&until=2023-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://kaosgl.org/en/single-news/grindr-ban-in-turkey-taken-to-constitutional-court,Ongoing,,,Other,"""Protective measure""",Yes,Yes,,https://www.independent.co.uk/tech/gay-hookup-app-grindr-fights-back-against-turkish-ban-with-threat-of-legal-action-8829360.html,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Turkey since Sep. 11, 2013, and is ongoing into 2024. The block was in place at the start of our STOP documentation on Jan. 1, 2016.",,MENA
Actual,9/15/2016,Indonesia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communications Ministry following a request from police,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=ID&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://time.com/4496531/indonesia-lgbt-grinder/,Ongoing,,,Other,"Authorities were targeting services that promoted ""sexual deviancy""",Yes,No,,https://tribune.com.pk/story/1182120/indonesia-blocks-gay-apps-sexual-deviancy/,,No,No,No,No,No,"Grindr, Blued, BoyAhoy",No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr and at least two other apps have been blocked in Indonesia since Sep. 15, 2016, and are ongoing into 2024.",,APAC
Estimated,10/28/2016,United Arab Emirates,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2016-01-01&until=2016-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in the United Arab Emirates since at least Oct. 28, 2016, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,2/9/2017,Saudi Arabia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Saudi Arabia since at least Feb. 9, 2017, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,5/12/2017,Iran (Islamic Republic of),"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Iran since at least May 12, 2017, and is ongoing into 2024.",,MENA
Actual,5/24/2019,Lebanon,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Telecommunications Ministry citing an order from the public prosecutor's office,Information control,,CSO KIO partners,https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=LB&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://www.independent.co.uk/news/world/middle-east/grindr-lebanon-ban-lgbt-rights-dating-app-gay-a8933556.html; https://www.middleeasteye.net/news/activists-slam-lebanons-telecoms-ministry-after-it-bans-grindr-app,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Lebanon since May 24, 2019, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,5/31/2019,Pakistan,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Pakistan Telecommunications Authority,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=PK&since=2019-01-01&until=2019-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=PK&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Other,"""...keeping in view the negative effects of immoral/indecent content streaming.""",Yes,No,,https://www.reuters.com/article/idUSKBN25T086/,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Pakistan since at least May 31, 2019, and the block is ongoing into 2024. There was an order sent by the Pakistani government on Sep. 1, 2020 blocking Grindr and other dating apps, but measurement data shows confirmed blockings since May 2019. The blocking is currently implemented by means of TLS interference.",,APAC
Estimated,1/1/2020,Qatar,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=QA&since=2020-01-01&until=2020-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=QA&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Qatar since at least Jan. 1, 2020, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Actual,6/29/2020,India,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Ministry of Electronics and Information Technology,Conflict,Clash between Indian and Chinese troops in a disputed region led to the ban of TikTok and 58 other Chinese created apps in India,CSO KIO partners,https://www.nytimes.com/2020/06/29/world/asia/tik-tok-banned-india-china.html; https://explorer.ooni.org/chart/mat?probe_cc=IN&since=2020-03-29&until=2021-03-30&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.tiktok.com; https://explorer.ooni.org/chart/mat?probe_cc=IN&since=2023-03-29&until=2024-03-30&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.tiktok.com,Ongoing,,,National security/ Counter-terrorism,,Yes,No,,https://www.bbc.com/news/technology-53225720,"They said the apps were ""prejudicial to the sovereignty and integrity of India, defence of India, security of state, and public order.""",No,No,No,No,No,"TikTok, WeChat, and 57 other Chinese-made apps",No,No,,Unknown,,,No,Yes,Unknown,,,No,,"TikTok, WeChat, and 57 other Chinese-made apps were banned in India beginning Jun. 29, 2020 with blocks remaining to this day following military clashes between Indian and Chinese troops in disputed territory.",,APAC
Actual,11/4/2020,Ethiopia,"It affected locations in more than one state, province, or region",Tigray,Shutdown,"Broadband, Mobile",Full network,Unknown,,Conflict,Civil war,News media article,"https://youtu.be/uEoa-7J6zpY, https://www.business-humanrights.org/en/latest-news/ethiopia-jakenn-publishing-urges-govt-says-current-internet-shutdown-threats-access-to-information-on-ongoing-conflict-in-tigray-region/, https://twitter.com/accessnow/status/1323964706382643200, https://cpj.org/2021/05/journalists-shutdowns-myanmar-ethiopia-kashmir/",Ongoing,,,Sabotage/ Third-party Action,https://www.youtube.com/watch?v=uEoa-7J6zpY,Yes,No,,,,No,No,No,No,No,,No,No,,Yes,,,No,Yes,Yes,,,No,,"This full shutdown happened at the start of the conflict and the government blamed the Tigray military forces for destruction of infrastructure. Nevertheless, after promises of restoration of services by the National Government, the internet services remain largely inaccessible in Tigray, amid various reports of human rights abuses.",https://www.accessnow.org/two-years-internet-shutdowns-tigray/,Africa
