start_date_type,start_date,country,geo_scope,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,decision_maker,actual_cause,actual_cause_details,info_source,info_source_link,shutdown_status,end_date,duration,gov_justification,gov_just_details,gov_ack,legal_just,legal_method,gov_ack_source,gov_ack_quote,facebook_affected,twitter_affected,whatsapp_affected,instagram_affected,telegram_affected,other_affected,sms_affected,phonecall_affected,telcos_involved,telco_ack,telco_ack_source,telco_ack_quote,election,violence,hr_abuse_reported,users_targeted,users_target_detail,users_notified,econ_impact,event,an_link,region
Actual,9/11/2013,Turkey,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Turkey's Directorate of Telecommunication following Istanbul's Criminal Court of Peace,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=TR&since=2023-01-01&until=2023-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://kaosgl.org/en/single-news/grindr-ban-in-turkey-taken-to-constitutional-court,Ongoing,,,Other,"""Protective measure""",Yes,Yes,,https://www.independent.co.uk/tech/gay-hookup-app-grindr-fights-back-against-turkish-ban-with-threat-of-legal-action-8829360.html,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Turkey since Sep. 11, 2013, and is ongoing into 2024. The block was in place at the start of our STOP documentation on Jan. 1, 2016.",,MENA
Actual,6/12/2016,Pakistan,"It affected more than one city in the same state, province, or region",Federally Administered Tribal Area (FATA),Shutdown,Mobile,Full network,Executive government,The Pakistan Telecommunication Authority (PTA) ,Conflict,Conflict between Afghanistan and Pakistan forces ,News media article,"https://slate.com/technology/2017/08/the-internet-has-been-shut-down-in-pakistans-fata-for-more-than-a-year.html; https://www.digitalrightsmonitor.pk/mobile-internet-restored-in-former-fatas-kurram-agency/#:~:text=The%20internet%20in%20seven%20districts,border%20joining%20Pakistan%20and%20Afghanistan.;",Ended,12/28/2021,2026,National security/ Counter-terrorism,"In January 2021, while speaking at a rally in Waziristan, Prime Minister Imran Khan announced that 3G/4G internet services will be restored in the district from that day. He said at the ceremony, “I spoke to my security agencies […] we agreed that we need to be cognizant of terrorists using [3G/4G] facility. Despite this, we also thought that it is the need of our young people and that is why this service will become operational from today.” ",Yes,Unknown,,https://www.pta.gov.pk/en/media-center/single-media/data-services-restored-in-district-kurram-291221,"In pursuance of Government’s vision of providing internet services across the country, after review of security situation by concerned forums, data services have been restored in District Kurram.

It is pertinent to mention that data services have been restored in six (6) out of seven (7) districts of Erstwhile FATA.

It may be further added the the restoration of data services will help residents to fulfill their educational, health, commerce and communication needs.",No,No,No,No,No,,No,No,"Pakistan: Jazz (Global Telecom), Pakistan: PTCL, Pakistan: Qubee (Augere), Pakistan: Special Communications Organization, Pakistan: Telenor, Pakistan: Wateen Telecom (Abu Dhabi), Pakistan: wi-tribe, Pakistan: Zong (China Mobile)",Unknown,,,No,Unknown,Unknown,"Students, people need healthcare during COVID, and small businesses","While many students staged protests to demand internet access for online classes, a student of National University of Modern Languages (NUML) petitioned the Islamabad High Court (IHC) in April 2020 to restore access in former FATA. The IHC ordered PTA to enable 3G/4G broadband internet as a response, but the Federal Government sought more time to assess security conditions before the restoration. The Court, at the time, said, “This is not occupied Kashmir, therefore people of these areas are free to exercise their constitutionally guaranteed fundamental rights.” It further observed, “It appears that there is no refusal on part of the Federal Government to extend the internet facilities to the inhabitants of [FATA] […]. However, it appears that due to the exceptional conditions that had prevailed in the past, the respective Governments and the Pakistan Telecommunication Authority may require time to develop the infrastructure in some affected areas.”",Unknown,,,https://www.accessnow.org/pakistanis-long-suffered-internet-shutdowns-last-voices-heard/,APAC
Actual,9/15/2016,Indonesia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communications Ministry following a request from police,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=ID&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://time.com/4496531/indonesia-lgbt-grinder/,Ongoing,,,Other,"Authorities were targeting services that promoted ""sexual deviancy""",Yes,No,,https://tribune.com.pk/story/1182120/indonesia-blocks-gay-apps-sexual-deviancy/,,No,No,No,No,No,"Grindr, Blued, BoyAhoy",No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr and at least two other apps have been blocked in Indonesia since Sep. 15, 2016, and are ongoing into 2024.",,APAC
Estimated,10/28/2016,United Arab Emirates,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2016-01-01&until=2016-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=AE&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in the United Arab Emirates since at least Oct. 28, 2016, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,2/9/2017,Saudi Arabia,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=SA&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Saudi Arabia since at least Feb. 9, 2017, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,5/12/2017,Iran (Islamic Republic of),"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2017-01-01&until=2017-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=IR&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Unknown,,No,,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Iran since at least May 12, 2017, and is ongoing into 2024.",,MENA
Actual,5/24/2019,Lebanon,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Telecommunications Ministry citing an order from the public prosecutor's office,Information control,,CSO KIO partners,https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=LB&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://www.independent.co.uk/news/world/middle-east/grindr-lebanon-ban-lgbt-rights-dating-app-gay-a8933556.html; https://www.middleeasteye.net/news/activists-slam-lebanons-telecoms-ministry-after-it-bans-grindr-app,Ongoing,,,Unknown,,No,No,,,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Lebanon since May 24, 2019, and the block is ongoing into 2024. The blocking is currently implemented by means of TLS interference.",,MENA
Estimated,5/31/2019,Pakistan,"It affected locations in more than one state, province, or region",Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Pakistan Telecommunications Authority,Information control,,CSO KIO partners,https://explorer.ooni.org/chart/mat?probe_cc=PK&since=2019-01-01&until=2019-12-31&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com; https://ooni.org/post/2023-jordan-blocks-grindr/#conclusion; https://explorer.ooni.org/chart/mat?probe_cc=PK&since=2023-01-01&until=2024-04-01&time_grain=day&axis_x=measurement_start_day&test_name=web_connectivity&domain=www.grindr.com,Ongoing,,,Other,"""...keeping in view the negative effects of immoral/indecent content streaming.""",Yes,No,,https://www.reuters.com/article/idUSKBN25T086/,,No,No,No,No,No,Grindr,No,No,,No,,,No,No,No,LGBTQ groups,,No,,"Grindr has been blocked in Pakistan since at least May 31, 2019, and the block is ongoing into 2024. There was an order sent by the Pakistani government on Sep. 1, 2020 blocking Grindr and other dating apps, but measurement data shows confirmed blockings since May 2019. The blocking is currently implemented by means of TLS interference.",,APAC
Actual,6/22/2019,Myanmar,"It affected more than one city in the same state, province, or region","Buthidaung, Rathedaung, Myabon, Paletwa, Ponnagyun, Myauk-U, Kyauktaw and Minbya Townships in Rakhine State",Throttle,Mobile,Full network,Executive government,Myanmar Ministry of Transport and Communications (MoTC) ,Conflict,,News media article,https://www.accessnow.org/update-internet-access-censorship-myanmar/; https://www.telenor.com/network-restored-in-eight-townships-in-myanmar/,Ended,2/3/2021,593,Fake news/ Hate speech/ Incendiary content/ Promoting violence,"Acts of terrorism, act of disturbance, and illegal activities  ",Yes,Unknown,,,,No,No,No,No,No,,No,No,Myanmar: Telenor,Yes,https://www.telenor.com/network-restored-in-eight-townships-in-myanmar/,,No,Yes,Unknown,Ethnic minorities,,No,,"Predominantly Rohingya, residents in Myanmar’s Chin and Rakhine states have been suffering through lengthy internet shutdowns and slowdowns since June 2019. As another obstacle to internet access for minority communities, authorities in Myanmar deactivated more than 34 million SIM cards this year, after people failed to reregister them with National Registration Card (NRC) numbers.",https://www.accessnow.org/elections-in-myanmar-government-must-reinstate-full-internet-keep-it-on/,APAC
Actual,8/5/2019,India,"It affected more than one city in the same state, province, or region",Jammu and Kashmir,Throttle,Mobile,Full network,Executive government,,Political instability,,News media article,https://indianexpress.com/article/india/jk-4g-internet-mobile-timeline-7176408/; https://www.washingtonpost.com/world/asia_pacific/indias-internet-shutdown-in-kashmir-is-now-the-longest-ever-in-a-democracy/2019/12/15/bb0693ea-1dfc-11ea-977a-15a6710ed6da_story.html; http://jkhome.nic.in/pdf/07(TSTS)%20of%202021%20dated%2005.02.2021.pdf; http://jkhome.nic.in/pdf/02(TSTS)%20of%202021%20dated%2022.01.2021.pdf; http://jkhome.nic.in/pdf/01(TSTS)of2021_0001.pdf,Ended,2/5/2021,551,National security/ Counter-terrorism,,Yes,Yes,"Yes. During 2021 the government issued Orders 01(TSTS) OF 2021, 02(TSTS) OF 2021, and 07(TSTS) of 2021, which referred to this incident. In 2021, mobile internet was still throttled until 05 of February, in most districts of Jammu and Kashmir.",http://jkhome.nic.in/pdf/07(TSTS)%20of%202021%20dated%2005.02.2021.pdf; http://jkhome.nic.in/pdf/01(TSTS)of2021_0001.pdf; http://jkhome.nic.in/pdf/02(TSTS)%20of%202021%20dated%2022.01.2021.pdf,,No,No,No,No,No,,No,No,,No,,,No,Unknown,Unknown,,,No,,"During 2021 the government issued Orders 01(TSTS) OF 2021, 02(TSTS) OF 2021, and 07(TSTS) of 2021, which referred to the ongoing mobile internet throttling. It ended by 05 of February. Before then, most districts of Jammu and Kashmir only had 2g mobile internet during 2021. In previous years and continuous to this event, there were full broadband and mobile shutdowns.",https://www.accessnow.org/after-a-partial-restoration-of-internet-access-in-jammu-kashmir-access-now-urges-full-access/,APAC
